Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch: 342 | Train loss: 3.99798 | Test loss: 4.10658
Epoch: 343 | Train loss: 4.00457 | Test loss: 4.24970
Epoch: 344 | Train loss: 4.00921 | Test loss: 4.00693
Epoch: 345 | Train loss: 3.99915 | Test loss: 3.99594
Epoch: 346 | Train loss: 3.99953 | Test loss: 3.94212
Epoch: 347 | Train loss: 4.00437 | Test loss: 3.96365
Epoch: 348 | Train loss: 3.99251 | Test loss: 4.12958
Epoch: 349 | Train loss: 3.98438 | Test loss: 4.00590
Epoch: 350 | Train loss: 3.98919 | Test loss: 3.94079
Epoch: 351 | Train loss: 3.98206 | Test loss: 3.91874
Epoch: 352 | Train loss: 3.98081 | Test loss: 3.98394
Epoch: 353 | Train loss: 3.97060 | Test loss: 3.88988
Epoch: 354 | Train loss: 3.98109 | Test loss: 3.97563
Epoch: 355 | Train loss: 3.96541 | Test loss: 3.92673
Epoch: 356 | Train loss: 3.97262 | Test loss: 3.89333
Epoch: 357 | Train loss: 3.97362 | Test loss: 3.91174
Epoch: 358 | Train loss: 3.96500 | Test loss: 3.93612
Epoch: 359 | Train loss: 3.96933 | Test loss: 4.12124
Epoch: 360 | Train loss: 3.96892 | Test loss: 3.90738
Epoch: 361 | Train loss: 3.96156 | Test loss: 3.90023
Epoch: 362 | Train loss: 3.96380 | Test loss: 3.96536
Epoch: 363 | Train loss: 3.96519 | Test loss: 4.14336
Epoch: 364 | Train loss: 3.95980 | Test loss: 3.91651
Epoch: 365 | Train loss: 3.95204 | Test loss: 3.95638
Epoch: 366 | Train loss: 3.95315 | Test loss: 3.96234
Epoch: 367 | Train loss: 3.94758 | Test loss: 3.98891
Epoch: 368 | Train loss: 3.94757 | Test loss: 3.91334
Epoch: 369 | Train loss: 3.94356 | Test loss: 3.94017
Epoch: 370 | Train loss: 3.94215 | Test loss: 3.92318
Epoch: 371 | Train loss: 3.93769 | Test loss: 3.89688
Epoch: 372 | Train loss: 3.93866 | Test loss: 3.90570
Epoch: 373 | Train loss: 3.93481 | Test loss: 3.91992
Epoch: 374 | Train loss: 3.94018 | Test loss: 3.93196
Epoch: 375 | Train loss: 3.93505 | Test loss: 3.91355
Epoch: 376 | Train loss: 3.93079 | Test loss: 3.90609
Epoch: 377 | Train loss: 3.93197 | Test loss: 3.91875
Epoch: 378 | Train loss: 3.93018 | Test loss: 3.93714
Epoch: 379 | Train loss: 3.92707 | Test loss: 3.92634
Epoch: 380 | Train loss: 3.92585 | Test loss: 3.91077
Epoch: 381 | Train loss: 3.92313 | Test loss: 3.88917
Epoch: 382 | Train loss: 3.92591 | Test loss: 3.90314
