Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch 157 | SR Loss: 5.24795 | Domain Loss: 0.59425 | Test Loss: 4.65327
Epoch 158 | SR Loss: 5.16065 | Domain Loss: 0.59287 | Test Loss: 5.14947
Epoch 159 | SR Loss: 5.20355 | Domain Loss: 0.59081 | Test Loss: 4.42611
Epoch 160 | SR Loss: 5.42396 | Domain Loss: 0.59201 | Test Loss: 4.43533
Epoch 161 | SR Loss: 5.08746 | Domain Loss: 0.58750 | Test Loss: 4.52226
Epoch 162 | SR Loss: 5.16507 | Domain Loss: 0.59202 | Test Loss: 4.92051
Epoch 163 | SR Loss: 5.30169 | Domain Loss: 0.58938 | Test Loss: 4.94957
Epoch 164 | SR Loss: 5.34192 | Domain Loss: 0.58468 | Test Loss: 4.79754
Epoch 165 | SR Loss: 5.20044 | Domain Loss: 0.58420 | Test Loss: 4.37035
Epoch 166 | SR Loss: 5.11724 | Domain Loss: 0.58525 | Test Loss: 5.30251
Epoch 167 | SR Loss: 5.11428 | Domain Loss: 0.58741 | Test Loss: 4.58544
Epoch 168 | SR Loss: 5.18537 | Domain Loss: 0.58951 | Test Loss: 4.50422
Epoch 169 | SR Loss: 5.24590 | Domain Loss: 0.58564 | Test Loss: 4.42181
Epoch 170 | SR Loss: 5.14107 | Domain Loss: 0.58809 | Test Loss: 4.30075
Epoch 171 | SR Loss: 5.07077 | Domain Loss: 0.58600 | Test Loss: 4.51118
Epoch 172 | SR Loss: 5.14259 | Domain Loss: 0.58643 | Test Loss: 4.35645
Epoch 173 | SR Loss: 5.01143 | Domain Loss: 0.58548 | Test Loss: 4.33788
Epoch 174 | SR Loss: 4.95432 | Domain Loss: 0.58526 | Test Loss: 5.85779
Epoch 175 | SR Loss: 5.08720 | Domain Loss: 0.58342 | Test Loss: 4.98016
Epoch 176 | SR Loss: 5.05468 | Domain Loss: 0.57907 | Test Loss: 4.62484
Epoch 177 | SR Loss: 5.08952 | Domain Loss: 0.57769 | Test Loss: 4.72508
Epoch 178 | SR Loss: 5.04989 | Domain Loss: 0.57969 | Test Loss: 4.29119
Epoch 179 | SR Loss: 5.09182 | Domain Loss: 0.58020 | Test Loss: 4.95842
Epoch 180 | SR Loss: 5.04858 | Domain Loss: 0.57815 | Test Loss: 4.42341
